structure,measurement,left_fit_index,right_fit_index,left_resonance_wavelength_nm,right_resonance_wavelength_nm,center_wavelength_nm,sigma_center_wavelength_nm,center_frequency_thz,fsr_nm,sigma_fsr_nm,ng_pair,sigma_ng_pair,ng_fit,sigma_ng_fit
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,35,98,1567.04301242,1567.04301242,1567.04301242,9.89337981535e-05,191.310931241,0,0.000197867596307,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,98,37,1567.04301242,1570.88771333,1568.96536287,0.000109439706869,191.076530492,3.84470091832,0.000218879413739,6.40271470316,0.000364508625758,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,37,100,1570.88771333,1570.88771333,1570.88771333,0.000119021857078,190.842703432,0,0.000238043714156,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,100,38,1570.88771333,1572.81622094,1571.85196713,0.000124407955295,190.725630828,1.9285076017,0.000248815910589,12.8115575194,0.00165294746397,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,38,101,1572.81622094,1572.81622094,1572.81622094,0.000129570352392,190.608701773,0,0.000259140704784,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,101,44,1572.81622094,1582.55010855,1577.68316474,0.000110045416514,190.020699149,9.73388761586,0.000220090833027,2.55713263451,5.78198748019e-05,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,44,107,1582.55010855,1582.55010855,1582.55010855,8.62062130729e-05,189.436313189,0,0.000172412426146,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,107,51,1582.55010855,1596.37926192,1589.46468524,0.000102536700903,188.612216921,13.8291533684,0.000205073401805,1.82686381321,2.7091705943e-05,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,51,114,1596.37926192,1596.37926192,1596.37926192,0.000116602053548,187.795259655,0,0.000233204107096,,,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,114,52,1596.37926192,1598.35626363,1597.36776277,0.00015349794683,187.679046107,1.97700170936,0.000306995893659,12.9063306191,0.00200414269657,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,52,124,1598.35626363,1616.5104692,1607.43336641,0.000194220637328,186.503816746,18.1542055663,0.000388441274656,1.42327463353,3.04554153529e-05,3.77574499629,4.50441127724e-05
mple 73  Diameter 100 um Coupling Distance 0.05 um,5041,124,62,1616.5104692,1618.55760478,1617.53403699,0.000172250941723,185.339196051,2.04713557982,0.000344501883446,12.7808650614,0.00215082755404,3.77574499629,4.50441127724e-05
mple 76 Diameter 100 um Coupling Distance 0.09 SECOND MEASUREMENT,5039,63,8,1530.77964121,1534.45634134,1532.61799127,5.01341533692e-05,195.608076968,3.67670012934,0.000100268306738,6.3886578305,0.00017422735707,6.23887155499,6.52317207595e-05
